movieid,title,studio,runtime,rating,reldate
4864,The Mechanic,CBS Films,92,R,2011-01-28
4865,The Rite,Warner Bros.,119,PG-13,2011-01-28
4866,When We Leave,Olive Films,119,Unrated,2011-01-28
4867,Into Eternity,International Film Circuit,75,Unrated,2011-02-02
4868,Troubadours,"""DIA"" Productions GmbH & Co. KG",101,Unrated,2011-02-02
4869,Cold Weather,IFC Films,96,Unrated,2011-02-04
4870,Sanctum,Universal Pictures,103,R,2011-02-04
4871,The Other Woman,IFC Films,119,Unrated,2011-02-04
4872,The Roommate,Sony Pictures,,PG-13,2011-02-04
4873,Waiting for Forever,Freestyle Releasing,,PG-13,2011-02-04
4874,Carancho,Strand Releasing,107,Unrated,2011-02-11
4875,Carbon Nation,"""DIA"" Productions GmbH & Co. KG",86,Unrated,2011-02-11
4876,Cedar Rapids,20th Century Fox,86,R,2011-02-11
4877,Certifiably Jonathan,"""DIA"" Productions GmbH & Co. KG",85,Unrated,2011-02-11
4878,Even the Rain (Tambien la Lluvia),Vitagraph Films,103,,2011-02-11
4879,Gnomeo and Juliet,Walt Disney,,G,2011-02-11
4880,Just Go with It,Sony Pictures,,PG-13,2011-02-11
4881,Justin Bieber: Never Say Never,Paramount Pictures,,,2011-02-11
4882,Lovers of Hate,IFC,93,Unrated,2011-02-11
4883,Orgasm Inc.,First Run Features,73,,2011-02-11
4884,Poetry,Kino International,139,Unrated,2011-02-11
4885,The Eagle,Universal Pictures,114,PG-13,2011-02-11
4886,Vidal Sassoon: The Movie,Phase 4 Films,90,Unrated,2011-02-11
4887,Zero Bridge,"Film Desk, The",96,Unrated,2011-02-16
4888,"Big Mommas: Like Father, Like Son",20th Century Fox,107,PG-13,2011-02-18
4889,I Am Number Four,Walt Disney,110,PG-13,2011-02-18
4890,Immigration Tango,Roadside Attractions,90,R,2011-02-18
4891,Loveless,"""DIA"" Productions GmbH & Co. KG",92,Unrated,2011-02-18
4892,Putty Hill,Cinema Guild,87,Unrated,2011-02-18
4893,The Chaperone,Samuel Goldwyn Films,103,PG-13,2011-02-18
4894,The Last Lions,National Geographic Entertainment,88,PG,2011-02-18
4895,Unknown,Warner Bros.,113,PG-13,2011-02-18
4896,Vanishing on 7th Street,Magnet Releasing,90,R,2011-02-18
4897,We Are What We Are,IFC Films,90,Unrated,2011-02-18
4898,Drive Angry 3D,Lionsgate,104,R,2011-02-25
4899,Hall Pass,Warner Bros.,,R,2011-02-25
4900,Heartbeats,IFC Films,,,2011-02-25
4901,Of Gods and Men,Sony Pictures,120,R,2011-02-25
4902,The Grace Card,Samuel Goldwyn Films,,PG-13,2011-02-25
4903,Beastly,CBS Films,95,PG-13,2011-03-04
4904,Happythankyoumoreplease,Anchor Bay Films,100,R,2011-03-04
4905,I Saw the Devil,Magnet Releasing,141,Unrated,2011-03-04
4906,Rango,Paramount Pictures,107,PG,2011-03-04
4907,Take Me Home Tonight,Relativity Media,114,R,2011-03-04
4908,The Adjustment Bureau,Universal Pictures,99,PG-13,2011-03-04
4909,The Human Resources Manager,"""DIA"" Productions GmbH & Co. KG",103,Unrated,2011-03-04
4910,Uncle Boonmee Who Can Recall His Past Lives,Strand Releasing,114,Not Rated,2011-03-04
4911,3 Backyards,Screen Media Films,88,R,2011-03-11
4912,Battle: Los Angeles,Sony Pictures,112,PG-13,2011-03-11
4913,Black Death,Magnet Releasing,102,R,2011-03-11
4914,Certified Copy,IFC Films,106,Unrated,2011-03-11
4915,Elektra Luxx,Destination Films Distribution Company,105,R,2011-03-11
4916,I Am,Paladin (II),76,Unrated,2011-03-11
4917,I Will Follow,AFFRM,88,PG-13,2011-03-11
4918,Jane Eyre,Universal Pictures,115,PG-13,2011-03-11
4919,Kill the Irishman,Anchor Bay Films,106,R,2011-03-11
4920,Making the Boys,First Run Features,90,,2011-03-11
4921,Mars Needs Moms,Walt Disney,88,PG,2011-03-11
4922,Monogamy,Oscilloscope Pictures,94,Unrated,2011-03-11
4923,Red Riding Hood,Warner Bros.,100,PG-13,2011-03-11
4924,The Desert of Forbidden Art,"""DIA"" Productions GmbH & Co. KG",80,Unrated,2011-03-11
4925,Bill Cunningham New York,Zeitgeist Films,84,,2011-03-16
4926,Lord of the Dance in 3D,"""DIA"" Productions GmbH & Co. KG",90,Not Rated,2011-03-17
4927,Cracks,IFC Films,104,Not Rated,2011-03-18
4928,Desert Flower,National Geographic Entertainment,120,R,2011-03-18
4929,Limitless,Relativity Media,105,PG-13,2011-03-18
4930,Nostalgia for the Light,Icarus Films,90,Not Rated,2011-03-18
4931,Paul,Universal Pictures,104,R,2011-03-18
4932,The Lincoln Lawyer,Lionsgate,119,R,2011-03-18
4933,The Music Never Stopped,Roadside Attractions,106,PG,2011-03-18
4934,Win Win,20th Century Fox,106,R,2011-03-18
4935,Winter in Wartime,Sony Pictures,103,R,2011-03-18
4936,My Perestroika,Red Square Productions,88,Not Rated,2011-03-23
4937,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,94,PG,2011-03-25
4938,"I Travel Because I Have to, I Come Back Because I Love You",,75,,2011-03-25
4939,Mia and the Migoo,GKIDS,,,2011-03-25
4940,Miral,The Weinstein Company,112,R,2011-03-25
4941,Peep World,IFC Films,89,,2011-03-25
4942,Potiche,Music Box Films,103,R,2011-03-25
4943,Sucker Punch,Warner Bros.,120,PG-13,2011-03-25
4944,White Irish Drinkers,Screen Media Films,109,R,2011-03-25
4945,The Four Times (Le Quattro Volte),Lorber Films,88,Not Rated,2011-03-30
4946,Cat Run,Lleju Productions,102,R,2011-04-01
4947,Circo,First Run Features,75,Not Rated,2011-04-01
4948,Hop,Universal Pictures,90,PG,2011-04-01
4949,In a Better World,Sony Pictures,119,R,2011-04-01
4950,Insidious,FilmDistrict,102,PG-13,2011-04-01
4951,Queen to Play,Zeitgeist Films,97,Not Rated,2011-04-01
4952,Rubber,Magnet Releasing,85,R,2011-04-01
4953,Source Code,Lionsgate,93,PG-13,2011-04-01
4954,Super,IFC Midnight,96,Not Rated,2011-04-01
4955,Trust,Millennium Entertainment,104,R,2011-04-01
4956,Wrecked,IFC Films,91,R,2011-04-01
4957,Blank City,,94,,2011-04-06
4958,Meeting Spencer,Paladin,86,R,2011-04-06
4959,American: The Bill Hicks Story,Variance Films,102,,2011-04-08
4960,Arthur,Warner Bros.,,,2011-04-08
4961,Born to Be Wild,Warner Bros.,100,Unrated,2011-04-08
4962,Ceremony,Magnolia Pictures,89,R,2011-04-08
4963,Hanna,Universal Pictures,,PG-13,2011-04-08
4964,Henry's Crime,Moving Pictures Film and Television,108,R,2011-04-08
4965,Meek's Cutoff,Oscilloscope Pictures,104,PG,2011-04-08
4966,Meet Monica Velour,Anchor Bay Films,98,R,2011-04-08
4967,Soul Surfer,Sony Pictures,,PG,2011-04-08
4968,The Elephant in the Living Room,"""DIA"" Productions GmbH & Co. KG",96,PG,2011-04-08
4969,To Die Like a Man,Strand Releasing,133,Not Rated,2011-04-08
4970,Your Highness,Universal Pictures,,R,2011-04-08
4971,A Screaming Man,Film Movement,92,Not Rated,2011-04-13
4972,Armadillo,Lorber Films,100,Not Rated,2011-04-15
4973,Atlas Shrugged: Part I,20th Century Fox,97,PG-13,2011-04-15
4974,Dumbstruck,Truly Indie,85,PG,2011-04-15
4975,Fly Away,New Video,85,Not Rated,2011-04-15
4976,Footprints,Paladin (II),80,,2011-04-15
4977,Rio,20th Century Fox,96,PG,2011-04-15
4978,Scream 4,Dimension Films,103,R,2011-04-15
4979,Square Grouper,Magnolia Pictures,101,R,2011-04-15
4980,The Conspirator,Roadside Attractions,123,PG-13,2011-04-15
4981,The Double Hour,Samuel Goldwyn Films,95,Not Rated,2011-04-15
4982,The First Beautiful Thing,Palisades Tartan,122,,2011-04-15
4983,The Princess of Montpensier,IFC Films,139,Unrated,2011-04-15
4984,African Cats,Walt Disney,89,,2011-04-22
4985,Beautiful Darling,Corinth Films,85,Not Rated,2011-04-22
4986,Incendies,Sony Pictures,130,R,2011-04-22
4987,Legend of the Fist: The Return of Chen Zhen,Variance Films,105,,2011-04-22
4988,Madea's Big Happy Family,Lionsgate,106,PG-13,2011-04-22
4989,POM Wonderful Presents: The Greatest Movie Ever Sold,Sony Pictures,90,PG-13,2011-04-22
4990,Stake Land,Dark Sky Films,98,PG-13,2011-04-22
4991,The Bang Bang Club,Tribeca Film,106,Not Rated,2011-04-22
4992,The Swell Season,Seventh Art Releasing,91,Not Rated,2011-04-22
4993,Water for Elephants,20th Century Fox,122,PG-13,2011-04-22
4994,The Arbor,Strand Releasing,94,Not Rated,2011-04-27
4995,13 Assassins,Magnet Releasing,141,R,2011-04-29
4996,Cave of Forgotten Dreams,IFC Films,89,Not Rated,2011-04-29
4997,Dylan Dog: Dead of Night,Freestyle Releasing,107,PG-13,2011-04-29
4998,Earthwork,Shadow Distribution,93,PG,2011-04-29
4999,Exporting Raymond,Samuel Goldwyn Films,86,PG,2011-04-29
5000,Fast Five,Universal Pictures,130,PG-13,2011-04-29
5001,Hoodwinked Too! Hood VS. Evil,The Weinstein Company,91,PG,2011-04-29
5002,"Lebanon, Pa.",Truly Indie,100,PG-13,2011-04-29
5003,Prom,Walt Disney,104,PG,2011-04-29
5004,Sympathy for Delicious,Maya Entertainment,96,Not Rated,2011-04-29
5005,That's What I Am,World Wrestling Entertainment (WWE),101,PG,2011-04-29
5006,The Robber,Kino International,90,Not Rated,2011-04-29
5007,An Invisible Sign,IFC Films,96,,2011-05-06
5008,Caterpillar,Lorber Films,85,,2011-05-06
5009,Daydream Nation,Anchor Bay Films,96,R,2011-05-06
5010,Forks Over Knives,Monica Beach Media,96,PG,2011-05-06
5011,Hobo with a Shotgun,Magnet Releasing,86,Not Rated,2011-05-06
5012,Jumping the Broom,Sony Pictures,108,PG-13,2011-05-06
5013,Last Night,The Weinstein Company,90,R,2011-05-06
5014,Passion Play,Image Entertainment,94,R,2011-05-06
5015,Something Borrowed,Warner Bros.,113,PG-13,2011-05-06
5016,The Beaver,Lionsgate,91,PG-13,2011-05-06
5017,The People vs. George Lucas,Quark Films,93,Not Rated,2011-05-06
5018,There Be Dragons,Samuel Goldwyn Films,120,PG-13,2011-05-06
5019,Thor,Paramount Pictures,114,PG-13,2011-05-06
5020,City of Life and Death,Kino International,132,R,2011-05-11
5021,Bridesmaids,Universal Pictures,125,R,2011-05-13
5022,Cameraman: The Life and Work of Jack Cardiff,Strand Releasing,86,Not Rated,2011-05-13
5023,Everything Must Go,Roadside Attractions,96,R,2011-05-13
5024,Hesher,Newmarket Films,100,R,2011-05-13
5025,"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'",First Run Features,82,Not Rated,2011-05-13
5026,How to Live Forever,Variance Films,92,Not Rated,2011-05-13
5027,L'amour fou,IFC Films,98,Not Rated,2011-05-13
5028,Make Believe,Firefly Films,88,Not Rated,2011-05-13
5029,Priest,Sony Pictures,87,PG-13,2011-05-13
5030,Skateland,Freestyle Releasing,96,PG-13,2011-05-13
5031,The Big Bang,Anchor Bay Films,,R,2011-05-13
5032,The First Grader,National Geographic Entertainment,120,PG-13,2011-05-13
5033,The Topp Twins: Untouchable Girls,Argot Pictures,84,Not Rated,2011-05-13
5034,True Legend,Indomina Releasing,115,R,2011-05-13
5035,Louder Than a Bomb,Balcony Releasing,99,Not Rated,2011-05-18
5036,Cost of a Soul,Relativity Media,90,R,2011-05-20
5037,Midnight in Paris,Sony Pictures,100,PG-13,2011-05-20
5038,Pirates of the Caribbean: On Stranger Tides,Walt Disney,141,PG-13,2011-05-20
5039,The Big Uneasy,"""DIA"" Productions GmbH & Co. KG",98,Not Rated,2011-05-20
5040,Hello Lonesome,Bodega Studios,91,Not Rated,2011-05-25
5041,Kung Fu Panda 2,Paramount Pictures,90,PG,2011-05-26
5042,The Hangover Part II,Warner Bros.,102,R,2011-05-26
5043,Puzzle,IFC Films,87,Not Rated,2011-05-27
5044,The Tree of Life,20th Century Fox,139,PG-13,2011-05-27
5045,"Tuesday, After Christmas",Lorber Films,99,Not Rated,2011-05-27
5046,!Women Art Revolution,Hotwire Productions,83,Not Rated,2011-06-01
5047,Film Socialisme,Kino Lorber Films,101,,2011-06-01
5048,Empire of Silver,China Lion Film Distribution,113,Not Rated,2011-06-02
5049,Beautiful Boy,Anchor Bay Films,100,R,2011-06-03
5050,Beginners,Universal Pictures,105,R,2011-06-03
5051,"Love, Wedding, Marriage",IFC Films,90,PG-13,2011-06-03
5052,Mr. Nice,MPI Media Group,121,Not Rated,2011-06-03
5053,Rejoice and Shout,Magnolia Pictures,115,PG,2011-06-03
5054,Submarine,The Weinstein Company,97,R,2011-06-03
5055,The Last Mountain,Dada Films,95,PG,2011-06-03
5056,X-Men: First Class,20th Century Fox,132,PG-13,2011-06-03
5057,One Lucky Elephant,Crossover Productions,84,Not Rated,2011-06-08
5058,Bride Flight,Music Box Films,130,R,2011-06-10
5059,Judy Moody and the Not Bummer Summer,Relativity Media,91,,2011-06-10
5060,Just Like Us,Cross Cultural Entertainment,72,R,2011-06-10
5061,Queen of the Sun: What Are the Bees Telling Us?,A Collective Eye Production,83,Not Rated,2011-06-10
5062,Road to Nowhere,Monterey Media,121,R,2011-06-10
5063,Super 8,Paramount Pictures,112,PG-13,2011-06-10
5064,The Trip,IFC Films,109,Not Rated,2011-06-10
5065,Trollhunter,Magnolia Pictures,90,Not Rated,2011-06-10
5066,Viva Riva!,Music Box Films,98,Not Rated,2011-06-10
5067,Kidnapped,IFC Midnight,105,PG-13,2011-06-15
5068,Battle for Brooklyn,RumuR Inc.,93,Not Rated,2011-06-17
5069,Buck,Sundance Selects,88,PG,2011-06-17
5070,Green Lantern,Warner Bros.,105,PG-13,2011-06-17
5071,Jig,Screen Media Films,93,Not Rated,2011-06-17
5072,Mr. Popper's Penguins,20th Century Fox,95,PG,2011-06-17
5073,Page One: A Year Inside the New York Times,Magnolia Pictures,88,R,2011-06-17
5074,The Art of Getting By,20th Century Fox,84,PG-13,2011-06-17
5075,The Broken Tower,Focus World,99,,2011-06-20
5076,If a Tree Falls: A Story of the Earth Liberation Front,Oscilloscope Laboratories,85,Not Rated,2011-06-22
5077,Passione,Beta Cinema,90,Not Rated,2011-06-22
5078,A Better Life,Lionsgate,98,PG-13,2011-06-24
5079,A Love Affair of Sorts,Paladin (II),,,2011-06-24
5080,Bad Teacher,Sony Pictures,92,R,2011-06-24
5081,Cars 2,Walt Disney,113,G,2011-06-24
5082,Conan O'Brien Can't Stop,Abramorama,89,,2011-06-24
5083,Leap Year,Strand Releasing,94,,2011-06-24
5084,The Best and the Brightest,"""DIA"" Productions GmbH & Co. KG",,Not Rated,2011-06-24
5085,The Names of Love,Music Box Films,102,R,2011-06-24
5086,Turtle: The Incredible Journey,Hannover House,81,,2011-06-24
5087,Vincent Wants to Sea,Corinth Films,96,Not Rated,2011-06-24
5088,Aurora,Cinema Guild,181,,2011-06-29
5089,Transformers: Dark of the Moon,Paramount Pictures,154,PG-13,2011-06-29
5090,Crime After Crime,Virgil Films & Entertainment,95,Not Rated,2011-07-01
5091,Larry Crowne,Universal Pictures,99,PG-13,2011-07-01
5092,Love Etc.,Paladin (II),99,Not Rated,2011-07-01
5093,Monte Carlo,20th Century Fox,109,PG,2011-07-01
5094,Small Town Murder Songs,Monterey Media,75,R,2011-07-01
5095,Terri,ATO Pictures,105,R,2011-07-01
5096,The Perfect Host,Magnolia Pictures,,R,2011-07-01
5097,Rapt,Lorber Films,125,Not Rated,2011-07-06
5098,Sholem Aleichem: Laughing in the Darkness,International Film Circuit,93,Not Rated,2011-07-06
5099,Beats Rhymes & Life: The Travels of a Tribe Called Quest,Sony Pictures,95,R,2011-07-08
5100,Farmageddon,Kristin Canty Productions,78,Not Rated,2011-07-08
5101,Horrible Bosses,Warner Bros.,98,R,2011-07-08
5102,Ironclad,Arc Entertainment,121,R,2011-07-08
5103,Project Nim,Roadside Attractions,93,Not Rated,2011-07-08
5104,Septien,IFC Films,80,Not Rated,2011-07-08
5105,The Ledge,IFC Films,101,R,2011-07-08
5106,The Sleeping Beauty,Strand Releasing,82,Not Rated,2011-07-08
5107,The Ward,ARC Entertainment (II),88,R,2011-07-08
5108,Zookeeper,Sony Pictures,104,PG,2011-07-08
5109,Daylight,Cinema Purgatorio,115,Not Rated,2011-07-15
5110,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,130,PG-13,2011-07-15
5111,"Life, Above All",Sony Pictures,100,PG-13,2011-07-15
5112,Lucky,Phase 4 Films,103,R,2011-07-15
5113,Salvation Boulevard,IFC Films,96,Not Rated,2011-07-15
5114,Snow Flower and the Secret Fan,20th Century Fox,120,PG-13,2011-07-15
5115,Tabloid,Sundance Selects,88,R,2011-07-15
5116,The Tree,Zeitgeist Films,100,Not Rated,2011-07-15
5117,The Undefeated,AMC Theatres,119,Not Rated,2011-07-15
5118,Winnie the Pooh,Walt Disney,69,G,2011-07-15
5119,A Little Help,Freestyle Releasing,105,R,2011-07-22
5120,Another Earth,20th Century Fox,92,PG-13,2011-07-22
5121,Captain America: The First Avenger,Paramount Pictures,125,PG-13,2011-07-22
5122,Friends with Benefits,Sony Pictures,109,R,2011-07-22
5123,Sarah's Key,The Weinstein Company,111,PG-13,2011-07-22
5124,The Myth of the American Sleepover,IFC Films,93,Not Rated,2011-07-22
5125,The Woman with the 5 Elephants,Cinema Guild,98,Not Rated,2011-07-22
5126,World on a Wire (1973),Janus Films,205,Not Rated,2011-07-22
5127,El Bulli: Cooking in Progress,Kino Lorber,108,Not Rated,2011-07-27
5128,Attack the Block,Sony Pictures,88,R,2011-07-29
5129,Cowboys & Aliens,Universal Pictures,118,PG-13,2011-07-29
5130,"Crazy, Stupid, Love",Warner Bros.,118,PG-13,2011-07-29
5131,Good Neighbors,Magnolia Pictures,96,R,2011-07-29
5132,House of Boys,Matson Films,117,Not Rated,2011-07-29
5133,Life in a Day,National Geographic Films,95,PG-13,2011-07-29
5134,Point Blank,Magnolia Pictures,84,R,2011-07-29
5135,Sleep Furiously,Microcinema International,94,Not Rated,2011-07-29
5136,The Devil's Double,Herrick Entertainment,108,R,2011-07-29
5137,The Future,Roadside Attractions,92,R,2011-07-29
5138,The Guard,Sony Pictures,96,R,2011-07-29
5139,The Interrupters,Cinema Guild,125,R,2011-07-29
5140,The Smurfs,Sony Pictures,86,PG,2011-07-29
5141,Bellflower,Oscilloscope Laboratories,106,R,2011-08-05
5142,Gun Hill Road,Motion Film Group,88,R,2011-08-05
5143,Magic Trip,Magnolia Pictures,90,R,2011-08-05
5144,Mysteries of Lisbon,Music Box Films,272,Not Rated,2011-08-05
5145,Protektor,Film Movement,98,Not Rated,2011-08-05
5146,Rise of the Planet of the Apes,20th Century Fox,110,PG-13,2011-08-05
5147,The Change-Up,Universal Pictures,112,R,2011-08-05
5148,The Perfect Age of Rock 'n' Roll,Entertainment One,92,R,2011-08-05
5149,The Whistleblower,Samuel Goldwyn Films,112,R,2011-08-05
5150,The Help,Walt Disney,137,PG-13,2011-08-10
5151,3-D Sex and Zen: Extreme Ecstasy,China Lion Film Distribution,129,Not Rated,2011-08-12
5152,30 Minutes or Less,Sony Pictures,83,R,2011-08-12
5153,Final Destination 5,Warner Bros.,92,R,2011-08-12
5154,Glee: The 3D Concert Movie,20th Century Fox,100,Not Rated,2011-08-12
5155,Littlerock,Variance Films,84,Not Rated,2011-08-12
5156,Senna,Producers Distribution Agency (PDA),106,PG-13,2011-08-12
5157,Over Your Cities Grass Will Grow,Arthouse Films,105,Not Rated,2011-08-15
5158,5 Days of War,Anchor Bay Films,120,R,2011-08-19
5159,Amigo,Variance Films,128,R,2011-08-19
5160,Conan the Barbarian,Lionsgate,112,R,2011-08-19
5161,Flypaper,IFC Films,87,Not Rated,2011-08-19
5162,Fright Night,Walt Disney,106,R,2011-08-19
5163,Griff the Invisible,Indomina Releasing,90,PG-13,2011-08-19
5164,Mozart's Sister,Music Box Films,120,Not Rated,2011-08-19
5165,One Day,Universal Pictures,108,PG-13,2011-08-19
5166,Programming the Nation?,International Film Circuit,105,Not Rated,2011-08-19
5167,Spy Kids: All the Time in the World,Dimension Films,89,PG,2011-08-19
5168,The Hedgehog,NeoClassics Films,100,Not Rated,2011-08-19
5169,The Last Circus,Magnolia Pictures,107,R,2011-08-19
5170,Brighton Rock,IFC Films,111,R,2011-08-26
5171,Chasing Madoff,Cohen Media Group,98,Not Rated,2011-08-26
5172,Circumstance,Participant Media,107,R,2011-08-26
5173,Colombiana,Sony Pictures,107,PG-13,2011-08-26
5174,Don't Be Afraid of the Dark,The Weinstein Company,99,R,2011-08-26
5175,Higher Ground,Sony Pictures,109,R,2011-08-26
5176,Iron Crows,Film Forum,60,Not Rated,2011-08-26
5177,Our Idiot Brother,The Weinstein Company,90,R,2011-08-26
5178,Special Treatment,First Run Features,95,Not Rated,2011-08-26
5179,Tales from the Golden Age,IFC Films,155,Not Rated,2011-08-26
5180,The Family Tree,Entertainment One,95,Not Rated,2011-08-26
5181,Gainsbourg: A Heroic Life,Music Box Films,130,Not Rated,2011-08-31
5182,The Debt,The Weinstein Company,114,R,2011-08-31
5183,A Good Old Fashioned Orgy,Samuel Goldwyn Films,92,R,2011-09-02
5184,Apollo 18,Dimension Films,90,PG-13,2011-09-02
5185,Detective Dee and the Mystery of the Phantom Flame,Indomina Releasing,119,PG-13,2011-09-02
5186,I'm Glad My Mother Is Alive,Strand Releasing,90,Not Rated,2011-09-02
5187,Love Crime,Sundance Selects,104,Not Rated,2011-09-02
5188,Love Exposure,Olive Films,237,Not Rated,2011-09-02
5189,Rebirth,Oscilloscope Pictures,104,Not Rated,2011-09-02
5190,Resurrect Dead: The Mystery of the Toynbee Tiles,Argot Pictures,86,Not Rated,2011-09-02
5191,Seven Days in Utopia,Utopia Pictures,120,G,2011-09-02
5192,Shark Night 3D,Relativity Media,95,PG-13,2011-09-02
5193,Bobby Fischer Against the World,Home Box Office (HBO),93,Not Rated,2011-09-09
5194,Brother's Justice,Tribeca Film,80,Not Rated,2011-09-09
5195,Bucky Larson: Born to Be a Star,Sony Pictures,96,R,2011-09-09
5196,Burke and Hare,IFC Films,91,Not Rated,2011-09-09
5197,Contagion,Warner Bros.,105,PG-13,2011-09-09
5198,Creature,Lockjaw Productions,93,R,2011-09-09
5199,Inside Out,World Wrestling Entertainment (WWE),93,PG-13,2011-09-09
5200,Shaolin,Well Go,131,R,2011-09-09
5201,Tanner Hall,Anchor Bay Films,95,R,2011-09-09
5202,The Autobiography of Nicolae Ceausescu,The Film Desk,180,Not Rated,2011-09-09
5203,The Black Power Mixtape 1967-1975,Sundance Selects,100,Not Rated,2011-09-09
5204,Warrior,Lionsgate,139,PG-13,2011-09-09
5205,We Were Here,Red Flag Releasing (RFR),90,Not Rated,2011-09-09
5206,Where Soldiers Come From,International Film Circuit,91,Not Rated,2011-09-09
5207,The Mill and the Cross,Koch Lorber Films,92,Not Rated,2011-09-14
5208,3,Strand Releasing,119,Not Rated,2011-09-16
5209,Drive,FilmDistrict,100,R,2011-09-16
5210,"Happy, Happy",Magnolia Pictures,85,R,2011-09-16
5211,I Don't Know How She Does It,The Weinstein Company,95,PG-13,2011-09-16
5212,Jane's Journey,Animal Planet,107,Not Rated,2011-09-16
5213,My Afternoons with Margueritte,Cohen Media Group,82,Not Rated,2011-09-16
5214,Restless,Sony Pictures,,PG-13,2011-09-16
5215,Shut Up Little Man! An Audio Misadventure,Tribeca Film,90,,2011-09-16
5216,Silent Souls,Shadow Distribution,75,Not Rated,2011-09-16
5217,Straw Dogs,Sony Pictures,110,R,2011-09-16
5218,Pearl Jam Twenty,Abramorama,109,Not Rated,2011-09-20
5219,Abduction,Lionsgate,106,PG-13,2011-09-23
5220,Dolphin Tale,Warner Bros.,113,PG,2011-09-23
5221,Killer Elite,Open Road Films,100,R,2011-09-23
5222,Limelight,Magnolia Pictures,101,Not Rated,2011-09-23
5223,Machine Gun Preacher,Relativity Media,123,R,2011-09-23
5224,Moneyball,Sony Pictures,133,PG-13,2011-09-23
5225,Puncture,Millennium Entertainment,100,R,2011-09-23
5226,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",First Run Features,104,Not Rated,2011-09-23
5227,The Whale,Paladin (II),89,G,2011-09-23
5228,Thunder Soul,Roadside Attractions,83,PG,2011-09-23
5229,Toast,W2 Media,96,Not Rated,2011-09-23
5230,Weekend,Sundance Selects,96,Not Rated,2011-09-23
5231,50/50,Lionsgate,99,R,2011-09-30
5232,American Teacher,First Run Features,81,Not Rated,2011-09-30
5233,Benda Bilili!,National Geographic Cinema Ventures,85,PG-13,2011-09-30
5234,Bunraku,ARC Entertainment (II),118,R,2011-09-30
5235,Courageous,Sony Pictures,130,PG-13,2011-09-30
5236,Dream House,Universal Pictures,92,PG-13,2011-09-30
5237,Finding Joe,Balcony Releasing,80,Not Rated,2011-09-30
5238,Margaret,20th Century Fox,149,R,2011-09-30
5239,My Joy,Kino International,127,Not Rated,2011-09-30
5240,Sarah Palin: You Betcha!,Freestyle Releasing,91,Not Rated,2011-09-30
5241,Take Shelter,Sony Pictures,120,R,2011-09-30
5242,Tucker & Dale vs Evil,Magnet Releasing,89,R,2011-09-30
5243,What's Your Number?,20th Century Fox,106,R,2011-09-30
5244,You Don't Like the Truth: 4 Days Inside Guantanamo,Films Transit International,100,Not Rated,2011-09-30
5245,Hell and Back Again,Docurama,88,Not Rated,2011-10-01
5246,1911,Well Go,125,R,2011-10-07
5247,Blackthorn,Magnolia Pictures,98,R,2011-10-07
5248,Dirty Girl,The Weinstein Company,90,R,2011-10-07
5249,Everyday Sunshine: The Story of Fishbone,Pale Griot Films,107,Not Rated,2011-10-07
5250,Real Steel,Walt Disney,127,PG-13,2011-10-07
5251,The Human Centipede II (Full Sequence),IFC Midnight,88,Not Rated,2011-10-07
5252,The Ides of March,Sony Pictures,101,R,2011-10-07
5253,The Sons of Tennessee Williams,First Run Features,75,Not Rated,2011-10-07
5254,The Way,Arc Entertainment,115,Not Rated,2011-10-07
5255,The Woman on the 6th Floor,Strand Releasing,104,Not Rated,2011-10-07
5256,Bombay Beach,Focus World,80,,2011-10-14
5257,"Connected: An Autoblogography About Love, Death & Technology",Paladin,85,PG,2011-10-14
5258,Father of Invention,Anchor Bay Entertainment,93,PG-13,2011-10-14
5259,Fireflies in the Garden,FSI,120,R,2011-10-14
5260,Footloose,Paramount Pictures,113,PG-13,2011-10-14
5261,Miss Bala,20th Century Fox,113,R,2011-10-14
5262,Oka!,Dada Films,106,Not Rated,2011-10-14
5263,Texas Killing Fields,Anchor Bay Entertainment,105,R,2011-10-14
5264,The Big Year,20th Century Fox,,PG-13,2011-10-14
5265,The Skin I Live In,Sony Pictures,117,R,2011-10-14
5266,The Thing,Universal Pictures,103,R,2011-10-14
5267,The Woman,Bloody Disgusting,101,R,2011-10-14
5268,To Be Heard,ITVS,86,Not Rated,2011-10-14
5269,Trespass,Millennium Entertainment,91,R,2011-10-14
5270,Paul Goodman Changed My Life,Zeitgeist Films,89,Not Rated,2011-10-19
5271,Red State,SModcast Pictures,88,R,2011-10-19
5272,The Catechism Cataclysm,IFC Midnight,75,Not Rated,2011-10-19
5273,Being Elmo: A Puppeteer's Journey,Submarine Entertainment,80,Not Rated,2011-10-21
5274,Elevate,Variance Films,81,PG,2011-10-21
5275,Johnny English Reborn,Universal Pictures,101,PG,2011-10-21
5276,Klitschko,Corinth Films,110,Not Rated,2011-10-21
5277,Le Havre,Janus Films,103,Not Rated,2011-10-21
5278,Margin Call,Roadside Attractions,105,R,2011-10-21
5279,Martha Marcy May Marlene,20th Century Fox,120,R,2011-10-21
5280,Norman,AMC Independent,97,Not Rated,2011-10-21
5281,Oranges and Sunshine,Cohen Media Group,106,R,2011-10-21
5282,Paranormal Activity 3,Paramount Pictures,83,R,2011-10-21
