salesid,theater_count,international,domestic
887,3,,204274
888,1766,197276,21908034
889,2834,43500000,46896664
890,8,1705831,734514
891,62,21099329,3051221
892,2376,48389744,52784696
893,2923,72696268,105807520
894,1,,8963
895,,489263,145540
896,2753,27846615,60470220
897,1,,257616
898,7,153354,549666
899,3471,80239000,102543518
900,2,465016,254683
901,1,,3072
902,3,31518,59413
903,2808,92022620,47901582
904,1,70592,405331
905,3,,1440
906,2176,3024595,9237470
907,1533,41002,12882934
908,2689,11582464,75155000
909,2,146135,135990
910,2002,9225553,19694635
911,5,,120601
912,1,,26272
913,2625,21777211,34657731
914,,,
915,179,,563711
916,1,,105656
917,2801,32000000,132675402
918,7,7341056,792200
919,10,897794,3663356
920,2,394961,6173485
921,2973,42000000,43632458
922,32,,319125
923,3369,10695398,47545060
924,1,612408,410241
925,2516,12979087,34234008
926,1761,,6882696
927,1714,6347337,8586376
928,2945,42000000,33685268
929,1,,3838
930,2084,39767123,23103423
931,2508,3912014,15614000
932,1,,9776
933,7,282204,1000673
934,2876,15999250,26599248
935,2151,495537,37788228
936,2,826594,2073984
937,4,,97044
938,3017,43009532,31111260
939,9,2942961,3517797
940,2459,17297731,26500000
941,10,,209151
942,2481,51270926,46566212
943,2,,921547
944,2964,1226138,35990505
945,3551,59923610,135560942
946,13,6836,3802390
947,97,11648645,17093668
948,,,
949,2,,58163
950,5,,103874
951,133,921071,17583468
952,2955,3911885,23010607
953,585,6531140,6126237
954,2331,3848290,67383924
955,1,27445930,11689053
956,1,,34514
957,6,,325491
958,1871,757984,12212417
959,3,,57722
960,2733,29987772,52131264
961,1207,,7375836
962,1,,3943
963,1,,75535
964,1,,141216
965,5,5572241,121972
966,2261,371440,3816594
967,1,1729129,5728581
968,6,11241,464126
969,1,,121771
970,7,,71475
971,9,136817,1011054
972,,,
973,13,,2374732
974,2825,12800000,42734455
975,2,,50075
976,3370,60136806,104148781
977,1,15151698,20305251
978,12,,57322
979,40,326099,732241
980,1,,305403
981,27,,156022
982,1,41712,39659
983,3603,457023240,281553689
984,1,,11305
985,1,,35363
986,2,,37156
987,1,,61122
988,3483,241763613,242704995
989,2652,3905032,20440627
990,3,1291449,3117985
991,3374,555565482,380529370
992,2633,70136827,106126012
993,1615,13231785,15417771
994,1,,564632
995,3408,109290549,127120058
996,1,,20591
997,6,,43571
998,4,4481,503714
999,9,18594934,20779666
1000,2609,2771512,26214846
1001,2840,20201968,30207785
1002,40,,544434
1003,,,
1004,3041,16040460,39402572
1005,1,,422688
1006,5,335155,196067
1007,2310,1150199,14208384
1008,2001,,4922166
1009,3660,112854445,132177234
1010,3459,126348945,100814328
1011,3,13309,156918
1012,1,,7544
1013,3350,34700000,90639088
1014,3086,54284432,26483452
1015,13,13891174,10130108
1016,3504,282700000,150358296
1017,3269,348900000,305410819
1018,8,5401276,1174139
1019,5,24562,1420578
1020,6,,243187
1021,,,602990
1022,3002,112800000,66465204
1023,3186,134731112,138540870
1024,5,6044339,8112414
1025,23,,20600
1026,2319,16998,14108518
1027,2236,133722282,28013509
1028,,,14369
1029,2,469704,56325
1030,,,37227
1031,4,21991,533344
1032,6,1415233,353743
1033,,10112664,19084280
1034,3,1042225,1629862
1035,2,,28839
1036,7,,146402
1037,1987,28437488,120277854
1038,3344,56091364,111760631
1039,3172,128000000,104354205
1040,2215,1038460,6087542
1041,12,,3707201
1042,1,3169,7221
1043,2954,50600000,110222438
1044,3202,90277151,116877597
1045,5,293739,3681803
1046,4,,69386
1047,6,2682045,6003587
1048,3014,31953748,82622655
1049,2253,7999,5111630
1050,2075,10282738,58331254
1051,74,,536906
1052,2495,,37095657
1053,5,4904953,4601043
1054,1,,13031
1055,3,,77732
1056,,,
1057,1200,,1646664
1058,2201,15655,15549702
1059,1,,9250
1060,1,,131712
1061,5,558794,280351
1062,2648,,22108977
1063,1,35993,18401
1064,1,,27007
1065,35,,254293
1066,6,925678,171830
1067,,,3200
1068,10,,113086
1069,1,,60158
1070,2026,1000000,22734486
1071,3,,3467
1072,1,151132,742898
1073,2,850978,188952
1074,1975,3900000,7659747
1075,11,,85739
1076,2087,9193476,21158188
1077,5,,71305
1078,23,72499844,44585453
1079,2711,22292102,36873198
1080,3282,41082870,56330657
1081,11,,75705
1082,1033,10000000,3203044
1083,2035,,21384035
1084,8,336307,231756
1085,4,,100976
1086,10,237956,74162
1087,3013,5831627,42070939
1088,2026,358496,30238577
1089,2915,43737767,51970690
1090,1,3581,266651
1091,2189,418651,9652000
1092,401,26935977,5781086
1093,7,11834915,432360
1094,1,4049,58040
1095,3152,33190150,47641743
1096,1226,13888516,43601508
1097,105,12598,70000
1098,3076,14406718,41083108
1099,2614,50683495,81261177
1100,27,,54288
1101,3,3668651,5801558
